PragaDate,DAILY_TMIN,DAILY_TMAX,DAILY_PREC
2025-01-01,0.8,11.0,0.0
2025-01-02,1.1,10.2,0.0
2025-01-03,3.6,8.2,0.1
2025-01-04,1.2,5.5,0.0
2025-01-05,2.9,5.5,0.1
2025-01-06,3.9,5.8,0.0
2025-01-07,4.4,7.4,0.1
2025-01-08,3.2,5.3,0.1
2025-01-09,4.4,7.5,2.2
2025-01-10,6.2,10.7,0.0
2025-01-11,2.6,8.3,0.0
2025-01-12,0.4,6.9,0.0
2025-01-13,0.2,7.2,0.0
2025-01-14,-0.1,5.1,0.0
2025-01-15,0.7,8.3,0.0
2025-01-16,2.8,8.1,0.0
2025-01-17,1.9,7.4,0.0
2025-01-18,2.5,7.5,1.6
2025-01-19,4.9,7.7,1.2
2025-01-20,5.7,7.4,4.0
2025-01-21,5.0,9.5,0.2
2025-01-22,5.0,6.7,1.8
2025-01-23,5.8,7.8,0.3
2025-01-24,5.1,12.4,0.0
2025-01-25,5.6,7.1,0.0
2025-01-26,4.7,11.6,1.6
2025-01-27,6.3,17.1,0.0
2025-01-28,8.7,18.5,0.0
2025-01-29,7.0,15.1,0.0
2025-01-30,5.6,11.6,0.0
2025-01-31,6.1,9.3,17.6
2025-02-01,7.4,10.1,5.7
2025-02-02,7.7,10.4,0.0
2025-02-03,5.8,11.9,0.0
2025-02-04,3.9,11.5,0.0
2025-02-05,3.8,11.9,0.0
2025-02-06,2.9,11.1,0.0
2025-02-07,2.5,7.5,0.0
2025-02-08,4.5,6.9,9.5
2025-02-09,4.5,7.4,4.1
2025-02-10,6.4,9.3,0.0
2025-02-11,7.6,11.9,4.0
2025-02-12,8.0,10.2,12.2
2025-02-13,8.3,10.4,0.1
2025-02-14,4.2,9.8,24.0
2025-02-15,2.9,8.2,0.2
2025-02-16,1.1,8.5,0.0
2025-02-17,1.2,6.8,0.0
2025-02-18,1.7,7.0,0.0
2025-02-19,2.2,6.8,0.0
2025-02-20,1.8,9.5,0.0
2025-02-21,2.6,13.5,0.0
2025-02-22,6.1,12.9,0.0
2025-02-23,8.4,12.5,0.0
2025-02-24,9.6,14.0,0.0
2025-02-25,8.8,12.2,2.4
2025-02-26,8.3,10.6,24.5
2025-02-27,8.4,15.2,0.2
2025-02-28,6.3,11.4,0.3
2025-03-01,7.5,10.1,9.4
2025-03-02,5.1,12.6,0.0
2025-03-03,3.3,14.9,0.0
2025-03-04,4.1,16.4,0.0
2025-03-05,6.0,17.6,0.0
2025-03-06,5.6,17.9,0.0
2025-03-07,5.3,16.9,0.0
2025-03-08,6.8,18.1,0.0
2025-03-09,9.9,16.2,0.3
2025-03-10,10.4,16.8,3.0
2025-03-11,10.0,17.5,4.7
2025-03-12,10.3,16.7,13.3
2025-03-13,9.0,16.9,1.1
2025-03-14,10.4,14.1,24.9
2025-03-15,10.9,17.3,4.6
2025-03-16,8.9,16.1,0.1
2025-03-17,7.7,14.8,0.0
2025-03-18,3.8,9.7,0.0
2025-03-19,1.9,13.2,0.0
2025-03-20,3.8,16.6,0.0
2025-03-21,7.0,14.0,0.0
2025-03-22,9.5,13.4,4.2
2025-03-23,9.4,20.7,0.1
2025-03-24,10.1,18.6,0.0
2025-03-25,9.9,16.8,15.6
2025-03-26,10.1,17.2,0.8
2025-03-27,11.5,15.4,1.1
2025-03-28,10.9,15.3,1.7
2025-03-29,10.5,14.3,2.3
2025-03-30,10.8,19.9,0.0
2025-03-31,9.2,18.4,0.5
2025-04-01,7.8,14.5,0.2
2025-04-02,10.1,18.6,0.1
2025-04-03,9.5,21.4,0.0
2025-04-04,9.6,22.1,0.0
2025-04-05,10.3,23.9,0.0
2025-04-06,7.1,16.4,0.0
2025-04-07,5.6,14.7,0.0
2025-04-08,5.0,16.2,0.0
2025-04-09,6.7,19.3,0.0
2025-04-10,9.0,20.3,0.0
2025-04-11,10.9,25.7,0.0
2025-04-12,12.9,22.1,0.0
2025-04-13,11.2,17.3,16.8
2025-04-14,11.3,14.5,21.1
2025-04-15,13.1,21.6,8.4
2025-04-16,12.0,19.2,2.5
