PragaDate,DAILY_TMIN,DAILY_TMAX,DAILY_PREC
1987-01-01,-2.3,3.2,0.0
1987-01-02,-0.9,5.4,0.0
1987-01-03,-1.2,10.3,0.0
1987-01-04,-0.9,7.9,0.0
1987-01-05,-4.0,5.2,0.0
1987-01-06,-4.6,1.1,0.0
1987-01-07,-5.2,8.2,0.0
1987-01-08,-4.6,3.9,0.0
1987-01-09,-5.0,6.1,0.0
1987-01-10,-1.7,0.2,0.1
1987-01-11,-1.6,1.0,19.3
1987-01-12,-2.1,-0.9,21.4
1987-01-13,-6.3,-2.3,4.2
1987-01-14,-5.8,1.6,10.4
1987-01-15,-3.6,3.6,22.0
1987-01-16,0.4,3.5,2.2
1987-01-17,0.9,4.1,0.8
1987-01-18,2.0,4.7,3.1
1987-01-19,0.9,5.8,0.6
1987-01-20,-0.6,5.7,0.0
1987-01-21,0.9,4.5,0.0
1987-01-22,-4.3,4.7,0.0
1987-01-23,-4.3,6.2,0.0
1987-01-24,-2.5,8.4,0.0
1987-01-25,-4.5,5.1,0.0
1987-01-26,-4.5,7.8,0.0
1987-01-27,1.1,5.0,0.0
1987-01-28,1.6,8.6,0.0
1987-01-29,-0.1,5.0,0.0
1987-01-30,1.5,3.7,0.0
1987-01-31,-7.1,4.4,0.0
1987-02-01,-7.7,2.6,0.0
1987-02-02,-7.5,2.5,0.0
1987-02-03,-5.7,1.5,0.0
1987-02-04,-1.1,4.6,0.0
1987-02-05,-1.1,5.0,0.1
1987-02-06,0.1,10.7,0.0
1987-02-07,3.3,13.3,0.0
1987-02-08,0.4,5.3,0.0
1987-02-09,-1.8,6.8,0.0
1987-02-10,0.0,6.2,0.0
1987-02-11,2.9,9.5,6.4
1987-02-12,2.9,7.2,2.0
1987-02-13,3.5,8.0,3.8
1987-02-14,4.9,8.3,18.5
1987-02-15,5.5,8.8,15.3
1987-02-16,6.6,9.0,4.9
1987-02-17,5.7,6.7,16.1
1987-02-18,3.7,10.6,8.3
1987-02-19,4.1,6.9,12.4
1987-02-20,4.3,5.7,13.6
1987-02-21,2.8,9.7,1.0
1987-02-22,-0.4,7.7,0.0
1987-02-23,2.5,9.8,0.0
1987-02-24,2.6,7.8,0.0
1987-02-25,-0.8,5.4,0.0
1987-02-26,-1.1,8.4,0.0
1987-02-27,0.7,9.8,0.0
1987-02-28,2.2,10.6,0.0
1987-03-01,3.1,13.9,0.0
1987-03-02,1.6,13.6,0.0
1987-03-03,3.1,8.7,0.0
1987-03-04,-3.9,4.0,0.1
1987-03-05,-2.9,5.8,0.0
1987-03-06,-4.0,4.7,0.0
1987-03-07,-5.2,7.3,0.0
1987-03-08,-3.4,5.7,0.0
1987-03-09,-4.4,7.4,0.0
1987-03-10,-0.3,7.3,0.0
1987-03-11,-0.7,5.8,0.0
1987-03-12,-0.5,10.6,0.0
1987-03-13,-1.1,11.2,0.0
1987-03-14,-1.1,8.9,0.0
1987-03-15,-1.3,7.4,0.0
1987-03-16,-0.6,7.2,0.4
1987-03-17,-2.3,11.7,0.0
1987-03-18,-0.3,12.2,0.0
1987-03-19,2.8,14.8,0.0
1987-03-20,5.2,12.5,0.7
1987-03-21,-1.8,13.2,0.0
1987-03-22,1.4,11.7,0.0
1987-03-23,5.5,14.9,0.0
1987-03-24,7.2,18.4,0.0
1987-03-25,7.9,18.8,0.0
1987-03-26,8.9,14.8,2.0
1987-03-27,8.6,18.0,0.0
1987-03-28,12.8,16.4,0.0
1987-03-29,9.6,12.6,0.0
1987-03-30,4.7,12.1,27.6
1987-03-31,5.9,10.8,0.2
1987-04-01,5.3,10.7,0.0
1987-04-02,4.4,15.0,0.0
1987-04-03,4.9,16.7,0.0
1987-04-04,8.5,19.9,0.0
1987-04-05,7.3,18.8,9.9
1987-04-06,9.7,19.0,0.0
1987-04-07,10.7,20.0,0.0
1987-04-08,8.9,19.6,0.0
1987-04-09,11.7,15.2,8.1
1987-04-10,10.9,13.6,2.4
1987-04-11,10.4,21.0,14.6
1987-04-12,8.5,19.7,0.0
1987-04-13,6.8,13.0,20.6
1987-04-14,7.4,16.6,4.3
1987-04-15,5.9,17.7,0.0
1987-04-16,7.5,17.8,0.0
1987-04-17,8.2,21.9,0.0
1987-04-18,11.1,24.8,0.0
1987-04-19,11.5,22.9,0.0
1987-04-20,11.9,20.1,0.0
1987-04-21,11.9,18.1,3.3
1987-04-22,7.4,20.6,5.5
1987-04-23,7.8,19.3,0.0
1987-04-24,7.4,21.6,0.0
1987-04-25,8.6,22.8,0.0
